center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,4ee138e9-d4c7-487a-9f6d-b2ab6062be1c,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-15T14:04:20.780Z,2024-01-15T14:04:50.397Z,2024-01-15T06:04:20.780Z,2024-01-15T06:04:50.397Z,45,ascending,left,21438,165.07901595633808,150.0183269990021,33.272888,33.542383,49.789769,49.999885
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,7e77c06f-4d47-49b5-aaf9-bc6c59ecf0a0,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-15T14:39:36.311Z,2024-01-15T14:42:04.617Z,2024-01-15T06:39:36.311Z,2024-01-15T06:42:04.617Z,45,ascending,left,23613,202.19187751233517,121.82367266700534,33.18018,41.627298,43.166196,49.999963
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,e9a172d5-cb60-4870-b174-ee2990f650fd,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-15T15:43:27.669Z,2024-01-15T15:46:14.615Z,2024-01-15T07:43:27.669Z,2024-01-15T07:46:14.615Z,45,ascending,left,27454,241.10099790766853,122.03288520804291,33.285591,57.45324,29.531871,49.998788
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,f28972e9-684e-4c05-8088-97838f590cc3,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-15T16:19:54.345Z,2024-01-15T16:21:32.920Z,2024-01-15T08:19:54.345Z,2024-01-15T08:21:32.920Z,45,ascending,left,29606,247.48785237041338,189.90102927228264,33.191745,47.709288,38.018405,49.998472
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,332a0095-de0b-4954-baa3-2417972708fd,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-16T14:05:12.244Z,2024-01-16T14:07:37.849Z,2024-01-16T06:05:12.244Z,2024-01-16T06:07:37.849Z,45,ascending,left,21548,202.27643250747207,122.17410506421446,33.275244,41.651579,43.204043,49.999595
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,8893a851-f2d3-4507-b687-59c3aba8e238,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-16T14:43:36.842Z,2024-01-16T14:46:44.699Z,2024-01-16T06:43:36.842Z,2024-01-16T06:46:44.699Z,45,ascending,left,23874,221.9742217628293,112.48004750369333,33.187186,50.304147,35.770866,49.998734
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,cd35976d-5019-4f19-b240-38a5c777f9c9,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-17T14:06:45.073Z,2024-01-17T14:09:47.647Z,2024-01-17T06:06:45.073Z,2024-01-17T06:09:47.647Z,45,ascending,left,21659,220.73364734923047,113.28875954165207,33.280114,49.62925,36.401657,49.999985
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,cc25bf78-073a-4d02-a738-47d47228a103,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-17T14:47:50.180Z,2024-01-17T14:51:15.313Z,2024-01-17T06:47:50.180Z,2024-01-17T06:51:15.313Z,45,ascending,left,24136,235.56542146643469,109.52020593613238,33.18912,57.235804,29.687809,49.999905
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,e3559aa9-782f-4da9-a4f1-2eb210912287,14800bee-0e47-4927-ac85-c99e4f284f90,9046442e-021d-4fbf-b4e1-e0105be7835d,2024-01-18T13:12:12.529Z,2024-01-18T13:14:03.674Z,2024-01-18T05:12:12.529Z,2024-01-18T05:14:03.674Z,45,ascending,left,18351,188.52175290922452,130.57783577532842,33.18619,37.362706,46.677318,49.999734
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,9f22d33e-f074-48f0-8244-a5a25a973c17,14800bee-0e47-4927-ac85-c99e4f284f90,cc6c417f-fd8d-49b8-807e-c847295e0c08,2024-01-18T14:08:29.207Z,2024-01-18T14:11:48.984Z,2024-01-18T06:08:29.207Z,2024-01-18T06:11:48.984Z,45,ascending,left,21772,233.72465107668125,110.03571740291797,33.283465,56.213609,30.628984,49.999614
