center,centerEcef,spacecraftId,accessId,accessrequestId,tileId,windowOpen,windowClose,windowOpenLocal,windowCloseLocal,orbitalPlane,accessProperties.ascdsc,accessProperties.lookDirection,accessProperties.localTime,accessProperties.azimuthOpen,accessProperties.azimuthClose,accessProperties.elevationMin,accessProperties.elevationMax,accessProperties.offNadirMin,accessProperties.offNadirMax
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,8fdc80d8-dc40-42b2-998f-c891dd5ddc02,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-14T05:03:18.294Z,2023-12-14T05:06:32.898Z,2023-12-13T21:03:18.294Z,2023-12-13T21:06:32.898Z,45,ascending,left,75458,231.68066389794942,110.59375983880439,33.358095,55.104739,31.639817,49.999123
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,944d934f-35b6-45c6-a1e2-baae9608e20d,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-15T03:28:03.925Z,2023-12-15T03:29:02.455Z,2023-12-14T19:28:03.925Z,2023-12-14T19:29:02.455Z,45,ascending,left,69676,173.4881223643713,143.03237426275058,33.351137,34.460617,49.126088,49.999931
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,de95c6da-efb8-4998-9367-df00383c64fe,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-15T04:08:40.880Z,2023-12-15T04:11:36.313Z,2023-12-14T20:08:40.880Z,2023-12-14T20:11:36.313Z,45,ascending,left,72171,220.1409989157125,114.18785441217977,33.454658,49.235705,36.828202,49.998782
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,112786e0-0278-425c-95e0-177cdbbc6b37,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-15T05:07:36.696Z,2023-12-15T05:10:11.063Z,2023-12-14T21:07:36.696Z,2023-12-14T21:10:11.063Z,45,ascending,left,75697,242.0318262587796,127.65932497081948,33.363336,56.445589,30.454545,49.998344
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,8b832d7c-24aa-42d8-b1a4-aa9e4ae43db2,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-16T03:31:35.332Z,2023-12-16T03:34:08.609Z,2023-12-15T19:31:35.332Z,2023-12-15T19:34:08.609Z,45,ascending,left,69935,206.7734463283301,120.0025629391942,33.353908,43.348927,41.825257,49.999597
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,7b56f54d-2969-48ca-b1f1-e132dbf09480,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-16T04:10:25.078Z,2023-12-16T04:13:37.824Z,2023-12-15T20:10:25.078Z,2023-12-15T20:13:37.824Z,45,ascending,left,72284,233.2909546873407,110.78701604579203,33.456972,55.797563,31.065862,49.999407
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,ecbc3667-1e07-42e4-9c5f-6c1128f18cab,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-17T02:32:47.144Z,2023-12-17T02:33:52.613Z,2023-12-16T18:32:47.144Z,2023-12-16T18:33:52.613Z,45,ascending,left,66363,176.10036860286192,141.35564461021372,33.446651,34.895102,48.852927,49.999974
"[-121.74456155035168, 46.79641971868754, 1589]","[-2301990.5737222885, -3720764.534587969, 4627458.837560752]",10,8037ea5a-6caa-4773-aa2d-9e2d9196cb98,69430848-be32-4ad4-85af-481c6ea6335f,fdb32a65-b190-4031-965a-e20485f0be00,2023-12-17T03:35:39.717Z,2023-12-17T03:38:45.953Z,2023-12-16T19:35:39.717Z,2023-12-16T19:38:45.953Z,45,ascending,left,70196,225.13492641134218,112.13719514175625,33.358181,51.765265,34.577595,49.999262
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,1c369c06-cd83-49f5-88c1-3143b0375e7c,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-17T04:12:15.263Z,2023-12-17T04:14:40.823Z,2023-12-16T20:12:15.263Z,2023-12-16T20:14:40.823Z,45,ascending,left,72371,242.3377895063645,131.89556823292975,33.45952,55.598523,31.244063,49.998809
"[-121.74456150751715, 46.796419719052345, 1589]","[-2301990.5709250737, -3720764.536283801, 4627458.837588523]",9,8b3ad006-a13b-4302-ac3b-87bc63d414d3,69430848-be32-4ad4-85af-481c6ea6335f,d44acaca-ee64-4f6f-b835-f8b8f76966ea,2023-12-18T02:33:55.565Z,2023-12-18T02:36:24.292Z,2023-12-17T18:33:55.565Z,2023-12-17T18:36:24.292Z,45,ascending,left,66473,206.0799688266953,120.79320955528405,33.449218,43.055638,42.129905,49.999221
